SampleID	Obs_richness	Shannon	Evenness	Samp_date	Individual_animal	sample_ID	Cow_enviro	Parity	DIM	Fecal	Hygiene_day1	BCS_day1	Temp	ShNS_day_1	Sh_NSh	Day	Farm	Pathotype	Pathotype_1	Pathotype_2	Pattern_1	Treatment	Disease	Milk_lbs	Week_avglbs	Pattern_2	EvNev_1	EvNev_2	DPDO_1	DPDO_2	DPvNS	Description
65A	4785	6.448375743	0.76102822	7/14/14	65	A	H4492	1	11	3	2	3	38.3	Sh	Sh	1	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	36
65B	5011	6.59130722	0.77368293	7/15/14	65	B	H4492	1	12	3	2	3	38.5	Sh	Sh	2	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	37
65C	4438	6.453053663	0.768407369	7/16/14	65	C	H4492	1	13	3	2	3	38.7	Sh	NS	3	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	38
65D	1927	6.021451311	0.796096573	7/17/14	65	D	H4492	1	14	3	2	3	38.9	Sh	NS	4	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	39
65E	5043	6.598295122	0.773924892	7/18/14	65	E	H4492	1	15	3	2	3	38.9	Sh	Sh	5	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	40
66A	4208	5.743479178	0.688275163	7/14/14	66	A	H4497	1	14	2	2	2	38.6	Sh	Sh	1	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	41
66B	5008	6.089495091	0.71483083	7/15/14	66	B	H4497	1	15	3	2	2	38.7	Sh	Sh	2	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	42
66C	3841	5.699527465	0.690559851	7/16/14	66	C	H4497	1	16	3	2	2	38.7	Sh	NS	3	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	43
66D	3826	5.918385558	0.717417012	7/17/14	66	D	H4497	1	17	3	2	2	38.5	Sh	Sh	4	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	44
66E	3134	5.735779751	0.712513433	7/18/14	66	E	H4497	1	18	3	2	2	38.7	Sh	NS	5	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	45
70A	4935	6.341053185	0.745645895	7/14/14	70	A	H6039	1	12	3	3	4	38.6	Sh	Sh	1	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	46
70B	3390	6.15344706	0.757013294	7/15/14	70	B	H6039	1	13	3	3	4	38.8	Sh	Sh	2	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	47
70C	3414	6.199325589	0.761996065	7/16/14	70	C	H6039	1	14	3	3	4	38.6	Sh	Sh	3	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	48
70D	3623	6.173365982	0.753303542	7/17/14	70	D	H6039	1	15	3	3	4	38.5	Sh	NS	4	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	49
70E	4225	6.273512171	0.751429104	7/18/14	70	E	H6039	1	16	3	3	4	38.5	Sh	Sh	5	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	50
69A	4278	6.534370824	0.781507304	7/14/14	69	A	H2823	1	9	3	2	3	38.4	NS	NS	1	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	51
69B	3301	6.356713731	0.784587614	7/15/14	69	B	H2823	1	10	3	2	3	38.7	NS	Sh	2	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	52
69C	776	5.5431091	0.833030064	7/16/14	69	C	H2823	1	11	3	2	3	38.8	NS	NS	3	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	53
69D	4733	6.450603974	0.762274192	7/17/14	69	D	H2823	1	12	3	2	3	38.8	NS	Sh	4	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	54
69E	4343	6.286721149	0.750534922	7/18/14	69	E	H2823	1	13	3	2	3	38.6	NS	NS	5	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	55
68A	3641	6.064209864	0.739536557	7/14/14	68	A	H2847	1	1	3	4	3	38.4	NS	NS	1	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	56
68B	3691	6.197387183	0.754522672	7/15/14	68	B	H2847	1	2	3	4	3	38.6	NS	NS	2	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	57
68C	4356	6.19123294	0.738871497	7/16/14	68	C	H2847	1	3	3	4	3	38.9	NS	Sh	3	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	58
68D	3634	6.079436627	0.74156751	7/17/14	68	D	H2847	1	4	3	4	3	38.9	NS	NS	4	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	59
68E	3820	6.071215627	0.73608286	7/18/14	68	E	H2847	1	5	3	4	3	39	NS	NS	5	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	60
61A	4173	6.07859732	0.729164179	7/14/14	61	A	H2854	1	8	1	2	3	39.1	NS	NS	1	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	61
61B	5693	6.442903498	0.745103387	7/15/14	61	B	H2854	1	9	2	2	3	39.6	NS	NS	2	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	62
61C	3414	5.433918774	0.66791535	7/16/14	61	C	H2854	1	10	3	2	3	39.9	NS	NS	3	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	63
61D	2700	5.536990205	0.700795502	7/17/14	61	D	H2854	1	11	3	2	3	39.5	NS	NS	4	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	64
61E	2819	5.651613682	0.711419419	7/18/14	61	E	H2854	1	12	3	2	3	39.4	NS	NS	5	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	65
74A	3171	5.941672561	0.737015416	7/14/14	74	A	H4419	1	3	3	4	3	38.9	NS	NS	1	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	66
74B	3277	6.051417721	0.747579273	7/15/14	74	B	H4419	1	4	3	4	3	38.9	NS	Sh	2	2	1	0	0	1	0	0	NA	NA	1	1	1	0	0	1	67
74C	2999	5.841828861	0.729678231	7/16/14	74	C	H4419	1	5	3	4	3	39.3	NS	Sh	3	2	3	1	1	1	0	0	NA	NA	1	1	1	1	1	2	68
74D	3181	5.872449028	0.728144425	7/17/14	74	D	H4419	1	6	3	4	3	38.9	NS	NS	4	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	69
74E	3631	6.027217334	0.73527189	7/18/14	74	E	H4419	1	7	3	4	3	39.2	NS	NS	5	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	70
73A	3104	5.781696427	0.719076503	7/14/14	73	A	H4471	1	6	3	2	3	38.6	NS	NS	1	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	71
73B	3201	5.890736684	0.729844776	7/15/14	73	B	H4471	1	7	3	2	3	38.9	NS	NS	2	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	72
73C	4215	6.219147451	0.745128897	7/16/14	73	C	H4471	1	8	3	2	3	39	NS	Sh	3	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	73
73D	3496	6.055568891	0.742160899	7/17/14	73	D	H4471	1	9	3	2	3	38.9	NS	NS	4	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	74
73E	2783	5.714044985	0.720443807	7/18/14	73	E	H4471	1	10	3	2	3	38.6	NS	NS	5	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	75
53A	4449	6.188661619	0.736707312	7/14/14	53	A	H413	6	13	2	3	2	38.4	NS	NS	1	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	76
53B	3825	6.231971139	0.755453281	7/15/14	53	B	H413	6	14	3	3	2	38	NS	Sh	2	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	77
53C	3538	6.235395373	0.763083291	7/16/14	53	C	H413	6	15	3	3	2	38	NS	NS	3	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	78
53D	4103	6.401994838	0.769519212	7/17/14	53	D	H413	6	16	2	3	2	38	NS	NS	4	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	79
53E	3581	6.271063653	0.766315427	7/18/14	53	E	H413	6	17	3	3	2	37.9	NS	Sh	5	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	80
60B	3671	5.913675285	0.720457752	7/15/14	60	B	H1677	3	3	3	2	3	38.6	NS	NS	2	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	82
60C	3270	6.076447361	0.75086974	7/16/14	60	C	H1677	3	4	3	2	3	38.9	NS	NS	3	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	83
60D	3037	5.843160746	0.72869855	7/17/14	60	D	H1677	3	5	3	2	3	38.6	NS	NS	4	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	84
60E	3737	5.858627564	0.712205227	7/18/14	60	E	H1677	3	6	3	2	3	39.1	NS	Sh	5	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	85
52A	2991	5.318205971	0.664496404	7/14/14	52	A	H1697	3	4	2	2	2	38.5	NS	NS	1	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	86
52B	4994	6.129056085	0.719711309	7/15/14	52	B	H1697	3	5	3	2	2	38.7	NS	Sh	2	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	87
52C	2970	5.470472478	0.684123993	7/16/14	52	C	H1697	3	6	2	2	2	38.4	NS	Sh	3	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	88
52D	4052	6.159876859	0.7415315	7/17/14	52	D	H1697	3	7	2	2	2	38.3	NS	NS	4	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	89
52E	3116	5.899446553	0.733369291	7/18/14	52	E	H1697	3	8	2	2	2	38.8	NS	NS	5	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	90
64A	3801	6.020380349	0.730361049	7/14/14	64	A	H2745	2	4	3	2	3	38.6	NS	NS	1	2	0	0	0	1	1	1	NA	NA	1	1	1	2	4	2	91
64B	3937	6.217620156	0.75108592	7/15/14	64	B	H2745	2	5	3	2	3	38.6	NS	NS	2	2	0	0	0	1	1	1	NA	NA	1	1	1	2	4	2	92
64C	2622	5.662418617	0.719339392	7/16/14	64	C	H2745	2	6	3	2	3	38.7	NS	NS	3	2	0	0	0	1	1	1	NA	NA	1	1	1	2	4	2	93
64D	2905	5.827523913	0.730798349	7/17/14	64	D	H2745	2	7	3	2	3	38.5	NS	NS	4	2	0	0	0	1	1	1	NA	NA	1	1	1	0	0	1	94
64E	1122	5.528338805	0.787191036	7/18/14	64	E	H2745	2	8	2	2	3	41.2	NS	Sh	5	2	3	1	1	1	1	1	NA	NA	1	1	1	1	1	2	95
57B	4461	6.103488744	0.726335309	7/15/14	57	B	H2812	1	10	3	3	2	38.8	NS	Sh	2	2	2	1	2	1	0	0	NA	NA	2	1	2	1	3	2	97
57C	4824	6.013629624	0.709040828	7/16/14	57	C	H2812	1	11	3	3	2	38.9	NS	NS	3	2	0	0	0	1	0	0	NA	NA	2	1	2	2	4	2	98
57D	3781	5.932299203	0.720136404	7/17/14	57	D	H2812	1	12	3	3	2	38.9	NS	NS	4	2	0	0	0	1	0	0	NA	NA	2	1	2	2	4	2	99
57E	4472	6.172338744	0.734313475	7/18/14	57	E	H2812	1	13	3	3	2	38.9	NS	NS	5	2	0	0	0	1	0	0	NA	NA	2	1	2	2	4	2	100
42A	4761	6.240370282	0.736917018	7/14/14	42	A	LL6881	5	7	2	2	2	39.3	Sh	Sh	1	1	1	0	0	0	2	1	66	63	0	0	0	2	4	0	101
42B	5273	6.549076188	0.764154622	7/15/14	42	B	LL6881	5	8	3	2	2	39.1	Sh	NS	2	1	0	0	0	0	2	1	59	63	0	0	0	2	4	0	102
42C	6078	6.487204616	0.744591795	7/16/14	42	C	LL6881	5	9	3	2	2	39.2	Sh	Sh	3	1	1	0	0	0	2	1	62	63	0	0	0	2	4	0	103
42D	4473	6.516443184	0.77523042	7/17/14	42	D	LL6881	5	10	3	2	2	38.9	Sh	Sh	4	1	1	0	0	0	2	1	66	63	0	0	0	2	4	0	104
42E	5058	6.255468972	0.733458744	7/18/14	42	E	LL6881	5	11	3	2	2	39.1	Sh	NS	5	1	0	0	0	0	2	1	62	63	0	0	0	2	4	0	105
45A	2986	6.14170741	0.767551283	7/14/14	45	A	LL11780	3	2	3	1	2	38.1	Sh	Sh	1	1	1	0	0	1	0	0	80	83	1	1	1	2	4	2	106
45B	1198	5.414527417	0.763856542	7/15/14	45	B	LL11780	3	3	3	1	2	38.5	Sh	Sh	2	1	1	0	0	1	0	0	77	83	1	1	1	2	4	2	107
45C	3654	6.148370565	0.749474286	7/16/14	45	C	LL11780	3	4	3	1	2	38.5	Sh	Sh	3	1	1	0	0	1	0	0	91	83	1	1	1	0	0	1	108
45D	3581	6.387289538	0.780518072	7/17/14	45	D	LL11780	3	5	3	1	2	38.5	Sh	Sh	4	1	3	1	1	1	0	0	83	83	1	1	1	1	1	2	109
45E	5722	6.410639266	0.74093674	7/18/14	45	E	LL11780	3	6	3	1	2	38.5	Sh	NS	5	1	0	0	0	1	0	0	84	83	1	1	1	2	4	2	110
20A	4747	6.37034817	0.752527632	7/14/14	20	A	LL11810	3	6	3	2	3	38.6	Sh	Sh	1	1	1	0	0	0	0	0	114	105.2	0	0	0	2	4	0	111
20B	4823	6.405808106	0.755299344	7/15/14	20	B	LL11810	3	7	3	2	3	38.7	Sh	NS	2	1	0	0	0	0	0	0	102	105.2	0	0	0	2	4	0	112
20C	6090	6.5007153	0.745973652	7/16/14	20	C	LL11810	3	8	3	2	3	38.6	Sh	Sh	3	1	1	0	0	0	0	0	96	105.2	0	0	0	2	4	0	113
20D	5357	6.41823432	0.747509337	7/17/14	20	D	LL11810	3	9	3	2	3	38.7	Sh	Sh	4	1	1	0	0	0	0	0	108	105.2	0	0	0	2	4	0	114
20E	4883	6.275996896	0.73891632	7/18/14	20	E	LL11810	3	10	3	2	3	39	Sh	NS	5	1	0	0	0	0	0	0	106	105.2	0	0	0	2	4	0	115
34A	4139	5.759751255	0.691595386	7/14/14	34	A	LL11816	3	5	3	2	3	38.7	Sh	Sh	1	1	1	0	0	0	0	0	110	103.4	0	0	0	2	4	0	116
34B	6940	6.370777337	0.720264132	7/15/14	34	B	LL11816	3	6	3	2	3	38.6	Sh	NS	2	1	0	0	0	0	0	0	98	103.4	0	0	0	2	4	0	117
34C	5896	6.409683161	0.738270149	7/16/14	34	C	LL11816	3	7	3	2	3	38.9	Sh	Sh	3	1	1	0	0	0	0	0	104	103.4	0	0	0	2	4	0	118
34D	1258	5.721516889	0.801638459	7/17/14	34	D	LL11816	3	8	3	2	3	38.7	Sh	Sh	4	1	1	0	0	0	0	0	80	103.4	0	0	0	2	4	0	119
34E	4333	6.231833082	0.74418696	7/18/14	34	E	LL11816	3	9	3	2	3	38.4	Sh	NS	5	1	0	0	0	0	0	0	125	103.4	0	0	0	2	4	0	120
