SampleID	Obs_richness	Shannon	Evenness	Samp_date	Individual_animal	sample_ID	Cow_enviro	Parity	DIM	Fecal	Hygiene_day1	BCS_day1	Temp	ShNS_day_1	Sh_NSh	Day	Farm	Pathotype	Pathotype_1	Pathotype_2	Pattern_1	Treatment	Disease	Milk_lbs	Week_avglbs	Pattern_2	EvNev_1	EvNev_2	DPDO_1	DPDO_2	DPvNS	Description
6B	4570	6.568755836	0.779464407	7/15/14	6	B	LL7957	4	14	3	3	1	38.3	NS	NS	2	1	0	0	0	1	0	1	82	90	1	1	1	2	4	2	152
6C	5061	6.392234789	0.749442542	7/16/14	6	C	LL7957	4	15	3	3	1	38.9	NS	NS	3	1	0	0	0	1	0	1	90	90	1	1	1	0	0	1	153
6D	4416	6.32039597	0.753056572	7/17/14	6	D	LL7957	4	16	3	3	1	38.2	NS	Sh	4	1	3	1	1	1	0	1	96	90	1	1	1	1	1	2	154
6E	1403	5.873412794	0.810531942	7/18/14	6	E	LL7957	4	17	3	3	1	38.8	NS	NS	5	1	0	0	0	1	0	1	90	90	1	1	1	2	4	2	155
24A	3810	6.093948117	0.739073859	7/14/14	24	A	LL11473	3	17	3	2	3	38.9	NS	NS	1	1	0	0	0	0	0	0	95	98.8	0	0	0	2	4	0	156
24B	4949	6.392347599	0.751427304	7/15/14	24	B	LL11473	3	18	3	2	3	38.9	NS	NS	2	1	0	0	0	0	0	0	94	98.8	0	0	0	2	4	0	157
24C	5162	6.475798837	0.757484935	7/16/14	24	C	LL11473	3	19	3	2	3	38.6	NS	NS	3	1	0	0	0	0	0	0	100	98.8	0	0	0	2	4	0	158
24D	4831	6.433476198	0.758413443	7/17/14	24	D	LL11473	3	20	3	2	3	38.7	NS	NS	4	1	0	0	0	0	0	0	104	98.8	0	0	0	2	4	0	159
24E	4445	6.393796496	0.761208374	7/18/14	24	E	LL11473	3	21	3	2	3	38.7	NS	NS	5	1	0	0	0	0	0	0	101	98.8	0	0	0	2	4	0	160
7A	NA	0	#VALUE!	7/14/14	7	A	LL11583	3	15	3	2	3	37.9	NS	NS	1	1	0	0	0	0	0	1	87	90.4	0	0	0	2	4	0	161
7B	4826	6.400042584	0.754564216	7/15/14	7	B	LL11583	3	16	3	2	3	38.4	NS	Sh	2	1	1	0	0	0	0	1	94	90.4	0	0	0	2	4	0	162
7C	5255	6.496453987	0.758317155	7/16/14	7	C	LL11583	3	17	3	2	3	38.4	NS	Sh	3	1	1	0	0	0	0	1	90	90.4	0	0	0	2	4	0	163
7D	4675	6.409818421	0.75855979	7/17/14	7	D	LL11583	3	18	3	2	3	39	NS	NS	4	1	0	0	0	0	0	1	87	90.4	0	0	0	2	4	0	164
7E	5153	6.468764757	0.756816628	7/18/14	7	E	LL11583	3	19	3	2	3	38.1	NS	NS	5	1	0	0	0	0	0	1	94	90.4	0	0	0	2	4	0	165
39A	5483	6.561991695	0.76218852	7/14/14	39	A	LL11996	3	6	3	2	2	38.7	NS	NS	1	1	0	0	0	0	1	1	54	60.8	0	0	0	2	4	0	166
39B	1958	5.982466732	0.789277075	7/15/14	39	B	LL11996	3	7	3	2	2	38.7	NS	NS	2	1	0	0	0	0	1	1	50	60.8	0	0	0	2	4	0	167
39C	5126	6.479792088	0.758573017	7/16/14	39	C	LL11996	3	8	3	2	2	38.6	NS	NS	3	1	0	0	0	0	1	1	54	60.8	0	0	0	2	4	0	168
39D	4389	6.296481543	0.750755829	7/17/14	39	D	LL11996	3	9	4	2	2	38.8	NS	NS	4	1	0	0	0	0	1	1	64	60.8	0	0	0	2	4	0	169
39E	4496	6.202767777	0.737463979	7/18/14	39	E	LL11996	3	10	3	2	2	38.8	NS	NS	5	1	0	0	0	0	1	1	82	60.8	0	0	0	2	4	0	170
14A	4019	5.892421382	0.710033935	7/14/14	14	A	LL12276	2	11	3	2	4	38.9	NS	NS	1	1	0	0	0	0	2	1	105	109.4	0	0	0	2	4	0	171
14B	3367	5.113371323	0.629587719	7/15/14	14	B	LL12276	2	12	3	2	4	38.9	NS	NS	2	1	0	0	0	0	2	1	114	109.4	0	0	0	2	4	0	172
14C	4065	5.886357853	0.708331905	7/16/14	14	C	LL12276	2	13	3	2	4	38.9	NS	Sh	3	1	1	0	0	0	2	1	100	109.4	0	0	0	2	4	0	173
14D	3996	5.910892771	0.712752652	7/17/14	14	D	LL12276	2	14	3	2	4	38.9	NS	NS	4	1	0	0	0	0	2	1	118	109.4	0	0	0	2	4	0	174
14E	4444	6.269295457	0.746405996	7/18/14	14	E	LL12276	2	15	3	2	4	39.3	NS	NS	5	1	0	0	0	0	2	1	110	109.4	0	0	0	2	4	0	175
48A	3820	6.248972079	0.757634306	7/14/14	48	A	LL12484	2	3	2	2	3	38.6	NS	NS	1	1	0	0	0	2	2	1	95	93.6	3	1	1	0	0	1	176
48B	3099	5.98736598	0.744805206	7/15/14	48	B	LL12484	2	4	3	2	3	38.4	NS	Sh	2	1	3	1	1	2	2	1	86	93.6	3	1	1	1	1	2	177
48C	5096	6.077918442	0.71201594	7/16/14	48	C	LL12484	2	5	3	2	3	38.8	NS	Sh	3	1	3	1	1	2	2	1	92	93.6	3	1	1	1	1	2	178
48D	2009	5.791183371	0.761457541	7/17/14	48	D	LL12484	2	6	3	2	3	38.6	NS	Sh	4	1	3	1	1	2	2	1	97	93.6	3	1	1	1	1	2	179
48E	3474	5.98799545	0.734447437	7/18/14	48	E	LL12484	2	7	3	2	3	38.9	NS	Sh	5	1	3	1	1	2	2	1	98	93.6	3	1	1	1	1	2	180
15A	4417	6.326686663	0.753785754	7/14/14	15	A	LL13213	1	13	3	2	3	38.6	NS	NS	1	1	0	0	0	0	0	0	58	60.2	0	0	0	2	4	0	181
15B	3992	6.157624151	0.742593919	7/15/14	15	B	LL13213	1	14	3	2	3	38.5	NS	NS	2	1	0	0	0	0	0	0	59	60.2	0	0	0	2	4	0	182
15C	4392	6.199878976	0.739177278	7/16/14	15	C	LL13213	1	15	3	2	3	38.9	NS	NS	3	1	0	0	0	0	0	0	62	60.2	0	0	0	2	4	0	183
15D	3442	5.367070196	0.659036929	7/17/14	15	D	LL13213	1	16	3	2	3	38.6	NS	Sh	4	1	1	0	0	0	0	0	58	60.2	0	0	0	2	4	0	184
15E	3515	5.933195512	0.726680297	7/18/14	15	E	LL13213	1	17	3	2	3	38.6	NS	Sh	5	1	1	0	0	0	0	0	64	60.2	0	0	0	2	4	0	185
8A	4428	6.448676459	0.768092467	7/14/14	8	A	LL13224	1	9	3	2	3	38.4	NS	NS	1	1	0	0	0	2	0	0	NA	64	3	1	1	2	4	2	186
8B	5580	6.615445372	0.766835316	7/15/14	8	B	LL13224	1	10	3	2	3	38.5	NS	NS	2	1	0	0	0	2	0	0	67	64	3	1	1	0	0	1	187
8C	4789	6.599190477	0.778750365	7/16/14	8	C	LL13224	1	11	3	2	3	38.8	NS	Sh	3	1	3	1	1	2	0	0	67	64	3	1	1	1	1	2	188
8D	3439	6.438402561	0.790673358	7/17/14	8	D	LL13224	1	12	3	2	3	38.9	NS	Sh	4	1	1	0	0	2	0	0	68	64	3	1	1	0	0	1	189
8E	2892	6.196607305	0.777520423	7/18/14	8	E	LL13224	1	13	3	2	3	38.9	NS	Sh	5	1	3	1	1	2	0	0	54	64	3	1	1	1	1	2	190
29A	4442	5.777918426	0.687940795	7/14/14	29	A	LL13261	1	9	3	2	3	38.7	NS	NS	1	1	0	0	0	0	1	1	73	73.6	0	0	0	2	4	0	191
29B	6307	6.308847065	0.721059268	7/15/14	29	B	LL13261	1	10	3	2	3	38.9	NS	NS	2	1	0	0	0	0	1	1	69	73.6	0	0	0	2	4	0	192
29C	5009	6.006461105	0.70506715	7/16/14	29	C	LL13261	1	11	3	2	3	39.8	NS	NS	3	1	0	0	0	0	1	1	73	73.6	0	0	0	2	4	0	193
29D	4114	5.890013302	0.707751308	7/17/14	29	D	LL13261	1	12	3	2	3	38.5	NS	NS	4	1	0	0	0	0	1	1	76	73.6	0	0	0	2	4	0	194
29E	4925	6.03306588	0.709598851	7/18/14	29	E	LL13261	1	13	3	2	3	38.9	NS	NS	5	1	0	0	0	0	1	1	77	73.6	0	0	0	2	4	0	195
30A	6896	6.497995575	0.735175752	7/14/14	30	A	LL13265	1	14	3	2	4	38.9	NS	NS	1	1	0	0	0	1	0	0	59	63.8	1	1	1	2	4	2	196
30B	6263	6.50771993	0.744384731	7/15/14	30	B	LL13265	1	15	3	2	4	38.4	NS	NS	2	1	0	0	0	1	0	0	63	63.8	1	1	1	2	4	2	197
30C	8414	6.571874721	0.727166141	7/16/14	30	C	LL13265	1	16	3	2	4	38.8	NS	Sh	3	1	1	0	0	1	0	0	61	63.8	1	1	1	0	0	1	198
30D	9913	6.79264213	0.738202098	7/17/14	30	D	LL13265	1	17	3	2	4	38.9	NS	Sh	4	1	3	1	1	1	0	0	68	63.8	1	1	1	1	1	2	199
30E	6736	6.450031434	0.731692493	7/18/14	30	E	LL13265	1	18	3	2	4	38.9	NS	Sh	5	1	1	0	0	1	0	0	68	63.8	1	1	1	2	4	2	200
