SampleID	OTUcts	OTUctsnormed	Normrich	Normshann	Normeven	Scaledrich	Obs_richness	Shannon	Evenness	Samp_date	Individual_animal	sample_ID	Cow_enviro	Parity	Parity_1	DIM	DIM_1	Fecal	Hygiene_day1	BCS_day1	Temp	ShNS_day_1	Sh_NSh	Day	Farm	Pathotype	Path_1.0	Path_1.1	Pathotype_1	Pathotype_2	Pattern_1.0	Pattern_1.1	Pattern_1.2	Pattern_1	Treatment	Disease	Milk_lbs	Week_avglbs	Pattern_2	Evnev_1.0	Evnev_1.1	EvNev_1	EvNev_2	DPDO_1	DPDO_2	DPvNS	Description
1B	32035	21075.65789	2910	5.413924833	0.678784734	-1.046385499	2910	5.413924833	0.678784734	7/15/14	1	B	LL13140	1	1	15	0	3	2	3	38.4	Sh	Sh	2	1	1	1	0	0	0	0	0	1	2	2	1	48	47.8	3	0	1	1	3	2	4	2	142
1C	7893	17271.33479	602	4.708259123	0.735635896	-2.952132378	602	4.708259123	0.735635896	7/16/14	1	C	LL13140	1	1	16	0	3	2	3	38.3	Sh	Sh	3	1	1	1	0	0	0	0	0	1	2	2	1	49	47.8	3	0	1	1	3	0	2	1	143
1D	21717	18082.43131	2248	5.351172819	0.693355029	-1.593007871	2248	5.351172819	0.693355029	7/17/14	1	D	LL13140	1	1	17	0	1	2	3	38.6	Sh	Sh	4	1	2	0	1	1	2	0	0	1	2	2	1	46	47.8	3	0	1	1	3	1	3	2	144
1E	37534	12428.47682	3333	5.636997019	0.694927944	-0.697108667	3333	5.636997019	0.694927944	7/18/14	1	E	LL13140	1	1	18	0	3	2	3	38.9	Sh	Sh	5	1	3	0	1	1	1	0	0	1	2	2	1	51	47.8	3	0	1	1	3	1	1	2	145
20A	34579	13078.29047	4747	6.37034817	0.752527632	0.470450296	4747	6.37034817	0.752527632	7/14/14	20	A	LL11810	3	3	6	1	3	2	3	38.6	Sh	Sh	1	1	1	1	0	0	0	1	0	0	0	0	0	114	105.2	0	1	0	0	0	2	4	0	111
20B	36942	8198.40213	4823	6.405808106	0.755299344	0.533204526	4823	6.405808106	0.755299344	7/15/14	20	B	LL11810	3	3	7	1	3	2	3	38.7	Sh	NS	2	1	0	1	0	0	0	1	0	0	0	0	0	102	105.2	0	1	0	0	0	2	4	0	112
20C	53543	9297.273832	6090	6.5007153	0.745973652	1.579383597	6090	6.5007153	0.745973652	7/16/14	20	C	LL11810	3	3	8	1	3	2	3	38.6	Sh	Sh	3	1	1	1	0	0	0	1	0	0	0	0	0	96	105.2	0	1	0	0	0	2	4	0	113
20D	45693	9323.199347	5357	6.41823432	0.747509337	0.974135563	5357	6.41823432	0.747509337	7/17/14	20	D	LL11810	3	3	9	1	3	2	3	38.7	Sh	Sh	4	1	1	1	0	0	0	1	0	0	0	0	0	108	105.2	0	1	0	0	0	2	4	0	114
20E	40861	16596.66937	4883	6.275996896	0.73891632	0.58274734	4883	6.275996896	0.73891632	7/18/14	20	E	LL11810	3	3	10	1	3	2	3	39	Sh	NS	5	1	0	1	0	0	0	1	0	0	0	0	0	106	105.2	0	1	0	0	0	2	4	0	115
24A	30426	15635.14902	3810	6.093948117	0.739073859	-0.303243302	3810	6.093948117	0.739073859	7/14/14	24	A	LL11473	3	3	17	0	3	2	3	38.9	NS	NS	1	1	0	1	0	0	0	1	0	0	0	0	0	95	98.8	0	1	0	0	0	2	4	0	156
24B	37459	8062.634524	4949	6.392347599	0.751427304	0.637244434	4949	6.392347599	0.751427304	7/15/14	24	B	LL11473	3	3	18	0	3	2	3	38.9	NS	NS	2	1	0	1	0	0	0	1	0	0	0	0	0	94	98.8	0	1	0	0	0	2	4	0	157
