SampleID	Obs_richness	Samp_date	Individual_animal	sample_ID	Cow_enviro	Parity	DIM	Fecal	Hygiene_day1	BCS_day1	Temp	ShNS_day_1	Sh_NSh	Day	Farm	Pathotype	Pathotype_1	Pathotype_2	Pattern_1	Treatment	Disease	Milk_lbs	Week_avglbs	Pattern_2	EvNev_1	EvNev_2	DPDO_1	DPDO_2	DPvNS	Description
50A	4513	7/14/14	50	A	H309	6	4	2	2	3	38	Sh	Sh	1	2	1	0	0	1	0	0	NA	NA	1	1	1	2	4	2	1
50B	3580	7/15/14	50	B	H309	6	5	2	2	3	38.5	Sh	Sh	2	2	1	0	0	1	0	0	NA	NA	1	1	1	2	4	2	2
50C	3482	7/16/14	50	C	H309	6	6	2	2	3	38.9	Sh	NS	3	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	3
50D	4246	7/17/14	50	D	H309	6	7	3	2	3	38.5	Sh	NS	4	2	0	0	0	1	0	0	NA	NA	1	1	1	0	0	1	4
50E	3659	7/18/14	50	E	H309	6	8	2	2	3	38.9	Sh	Sh	5	2	3	1	1	1	0	0	NA	NA	1	1	1	1	1	2	5
71A	3991	7/14/14	71	A	H742	4	5	3	2	3	38.6	Sh	Sh	1	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	6
71B	3915	7/15/14	71	B	H742	4	6	3	2	3	38.2	Sh	NS	2	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	7
71C	3364	7/16/14	71	C	H742	4	7	3	2	3	38.5	Sh	NS	3	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	8
71D	3038	7/17/14	71	D	H742	4	8	3	2	3	38.3	Sh	Sh	4	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	9
67A	4030	7/14/14	67	A	H1097	4	4	3	2	5	38.9	Sh	Sh	1	2	3	1	1	1	0	0	NA	NA	1	1	1	1	1	2	11
67B	3974	7/15/14	67	B	H1097	4	5	3	2	5	38.9	Sh	Sh	2	2	1	0	0	1	0	0	NA	NA	1	1	1	2	4	2	12
67C	4590	7/16/14	67	C	H1097	4	6	3	2	5	38.8	Sh	Sh	3	2	1	0	0	1	0	0	NA	NA	1	1	1	2	4	2	13
67D	5301	7/17/14	67	D	H1097	4	7	3	2	5	38.8	Sh	NS	4	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	14
67E	4527	7/18/14	67	E	H1097	4	8	3	2	5	38.8	Sh	NS	5	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	15
63A	3659	7/14/14	63	A	H1889	2	0	3	3	3	38.6	Sh	Sh	1	2	1	0	0	1	0	0	NA	NA	1	1	1	2	4	2	16
63B	3630	7/15/14	63	B	H1889	2	1	3	3	3	38.4	Sh	Sh	2	2	1	0	0	1	0	0	NA	NA	1	1	1	2	4	2	17
63C	5476	7/16/14	63	C	H1889	2	2	3	3	3	38.6	Sh	NS	3	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	18
63D	4044	7/17/14	63	D	H1889	2	3	3	3	3	38.9	Sh	NS	4	2	0	0	0	1	0	0	NA	NA	1	1	1	0	0	1	19
63E	4444	7/18/14	63	E	H1889	2	4	2	3	3	38.8	Sh	Sh	5	2	3	1	1	1	0	0	NA	NA	1	1	1	1	1	2	20
58A	4388	7/14/14	58	A	H2729	2	5	3	2	2	38.7	Sh	Sh	1	2	1	0	0	1	1	1	NA	NA	1	1	1	2	4	2	21
58B	5419	7/15/14	58	B	H2729	2	6	3	2	2	38.5	Sh	Sh	2	2	1	0	0	1	1	1	NA	NA	1	1	1	0	0	1	22
58C	3922	7/16/14	58	C	H2729	2	7	3	2	2	39	Sh	Sh	3	2	3	1	1	1	1	1	NA	NA	1	1	1	1	1	2	23
58D	3520	7/17/14	58	D	H2729	2	8	2	2	2	38.9	Sh	NS	4	2	0	0	0	1	1	1	NA	NA	1	1	1	2	4	2	24
58E	4320	7/18/14	58	E	H2729	2	9	3	2	2	39	Sh	NS	5	2	0	0	0	1	1	1	NA	NA	1	1	1	2	4	2	25
55A	4725	7/14/14	55	A	H4387	1	2	3	2	3	38.4	Sh	Sh	1	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	26
55B	4886	7/15/14	55	B	H4387	1	3	4	2	3	38.8	Sh	Sh	2	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	27
55C	4416	7/16/14	55	C	H4387	1	4	3	2	3	39.2	Sh	Sh	3	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	28
55D	3788	7/17/14	55	D	H4387	1	5	3	2	3	39.2	Sh	NS	4	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	29
55E	4047	7/18/14	55	E	H4387	1	6	3	2	3	39.2	Sh	Sh	5	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	30
62A	3654	7/14/14	62	A	H4452	1	3	3	2	4	38.8	Sh	Sh	1	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	31
62B	4510	7/15/14	62	B	H4452	1	4	3	2	4	38.8	Sh	Sh	2	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	32
62C	4116	7/16/14	62	C	H4452	1	5	3	2	4	38.7	Sh	Sh	3	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	33
62D	5219	7/17/14	62	D	H4452	1	6	3	2	4	38.9	Sh	Sh	4	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	34
62E	5276	7/18/14	62	E	H4452	1	7	2	2	4	39	Sh	NS	5	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	35
65A	4785	7/14/14	65	A	H4492	1	11	3	2	3	38.3	Sh	Sh	1	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	36
65B	5011	7/15/14	65	B	H4492	1	12	3	2	3	38.5	Sh	Sh	2	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	37
65C	4438	7/16/14	65	C	H4492	1	13	3	2	3	38.7	Sh	NS	3	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	38
65D	1927	7/17/14	65	D	H4492	1	14	3	2	3	38.9	Sh	NS	4	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	39
65E	5043	7/18/14	65	E	H4492	1	15	3	2	3	38.9	Sh	Sh	5	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	40
66A	4208	7/14/14	66	A	H4497	1	14	2	2	2	38.6	Sh	Sh	1	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	41
66B	5008	7/15/14	66	B	H4497	1	15	3	2	2	38.7	Sh	Sh	2	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	42
66C	3841	7/16/14	66	C	H4497	1	16	3	2	2	38.7	Sh	NS	3	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	43
66D	3826	7/17/14	66	D	H4497	1	17	3	2	2	38.5	Sh	Sh	4	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	44
66E	3134	7/18/14	66	E	H4497	1	18	3	2	2	38.7	Sh	NS	5	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	45
70A	4935	7/14/14	70	A	H6039	1	12	3	3	4	38.6	Sh	Sh	1	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	46
70B	3390	7/15/14	70	B	H6039	1	13	3	3	4	38.8	Sh	Sh	2	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	47
70C	3414	7/16/14	70	C	H6039	1	14	3	3	4	38.6	Sh	Sh	3	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	48
70D	3623	7/17/14	70	D	H6039	1	15	3	3	4	38.5	Sh	NS	4	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	49
70E	4225	7/18/14	70	E	H6039	1	16	3	3	4	38.5	Sh	Sh	5	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	50
69A	4278	7/14/14	69	A	H2823	1	9	3	2	3	38.4	NS	NS	1	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	51
69B	3301	7/15/14	69	B	H2823	1	10	3	2	3	38.7	NS	Sh	2	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	52
69C	776	7/16/14	69	C	H2823	1	11	3	2	3	38.8	NS	NS	3	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	53
69D	4733	7/17/14	69	D	H2823	1	12	3	2	3	38.8	NS	Sh	4	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	54
69E	4343	7/18/14	69	E	H2823	1	13	3	2	3	38.6	NS	NS	5	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	55
68A	3641	7/14/14	68	A	H2847	1	1	3	4	3	38.4	NS	NS	1	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	56
68B	3691	7/15/14	68	B	H2847	1	2	3	4	3	38.6	NS	NS	2	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	57
68C	4356	7/16/14	68	C	H2847	1	3	3	4	3	38.9	NS	Sh	3	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	58
68D	3634	7/17/14	68	D	H2847	1	4	3	4	3	38.9	NS	NS	4	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	59
68E	3820	7/18/14	68	E	H2847	1	5	3	4	3	39	NS	NS	5	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	60
61A	4173	7/14/14	61	A	H2854	1	8	1	2	3	39.1	NS	NS	1	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	61
61B	5693	7/15/14	61	B	H2854	1	9	2	2	3	39.6	NS	NS	2	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	62
61C	3414	7/16/14	61	C	H2854	1	10	3	2	3	39.9	NS	NS	3	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	63
61D	2700	7/17/14	61	D	H2854	1	11	3	2	3	39.5	NS	NS	4	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	64
61E	2819	7/18/14	61	E	H2854	1	12	3	2	3	39.4	NS	NS	5	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	65
74A	3171	7/14/14	74	A	H4419	1	3	3	4	3	38.9	NS	NS	1	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	66
74B	3277	7/15/14	74	B	H4419	1	4	3	4	3	38.9	NS	Sh	2	2	1	0	0	1	0	0	NA	NA	1	1	1	0	0	1	67
74C	2999	7/16/14	74	C	H4419	1	5	3	4	3	39.3	NS	Sh	3	2	3	1	1	1	0	0	NA	NA	1	1	1	1	1	2	68
74D	3181	7/17/14	74	D	H4419	1	6	3	4	3	38.9	NS	NS	4	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	69
74E	3631	7/18/14	74	E	H4419	1	7	3	4	3	39.2	NS	NS	5	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	70
73A	3104	7/14/14	73	A	H4471	1	6	3	2	3	38.6	NS	NS	1	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	71
73B	3201	7/15/14	73	B	H4471	1	7	3	2	3	38.9	NS	NS	2	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	72
73C	4215	7/16/14	73	C	H4471	1	8	3	2	3	39	NS	Sh	3	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	73
73D	3496	7/17/14	73	D	H4471	1	9	3	2	3	38.9	NS	NS	4	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	74
73E	2783	7/18/14	73	E	H4471	1	10	3	2	3	38.6	NS	NS	5	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	75
53A	4449	7/14/14	53	A	H413	6	13	2	3	2	38.4	NS	NS	1	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	76
53B	3825	7/15/14	53	B	H413	6	14	3	3	2	38	NS	Sh	2	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	77
53C	3538	7/16/14	53	C	H413	6	15	3	3	2	38	NS	NS	3	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	78
53D	4103	7/17/14	53	D	H413	6	16	2	3	2	38	NS	NS	4	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	79
53E	3581	7/18/14	53	E	H413	6	17	3	3	2	37.9	NS	Sh	5	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	80
60B	3671	7/15/14	60	B	H1677	3	3	3	2	3	38.6	NS	NS	2	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	82
60C	3270	7/16/14	60	C	H1677	3	4	3	2	3	38.9	NS	NS	3	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	83
60D	3037	7/17/14	60	D	H1677	3	5	3	2	3	38.6	NS	NS	4	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	84
60E	3737	7/18/14	60	E	H1677	3	6	3	2	3	39.1	NS	Sh	5	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	85
52A	2991	7/14/14	52	A	H1697	3	4	2	2	2	38.5	NS	NS	1	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	86
52B	4994	7/15/14	52	B	H1697	3	5	3	2	2	38.7	NS	Sh	2	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	87
52C	2970	7/16/14	52	C	H1697	3	6	2	2	2	38.4	NS	Sh	3	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	88
