SampleID	Obs_richness	Shannon_norm	Shannon_nonnorm	Samp_date	Individual_animal	sample_ID	Cow_enviro	Parity	DIM	Fecal	Hygiene_day1	BCS_day1	Temp	ShNS_day_1	Sh_NSh	Day	Farm	Pathotype	Pathotype_1	Pathotype_2	Pattern_1	Treatment	Disease	Milk_lbs	Week_avglbs	Pattern_2	EvNev_1	EvNev_2	DPDO_1	DPDO_2	DPvNS	Description
50A	4513	6.003675329	6.003675329	7/14/14	50	A	H309	6	4	2	2	3	38	Sh	Sh	1	2	1	0	0	1	0	0	NA	NA	1	1	1	2	4	2	1
50B	3580	5.766581562	5.766581562	7/15/14	50	B	H309	6	5	2	2	3	38.5	Sh	Sh	2	2	1	0	0	1	0	0	NA	NA	1	1	1	2	4	2	2
50C	3482	5.890063093	5.890063093	7/16/14	50	C	H309	6	6	2	2	3	38.9	Sh	NS	3	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	3
50D	4246	5.890332305	5.890332305	7/17/14	50	D	H309	6	7	3	2	3	38.5	Sh	NS	4	2	0	0	0	1	0	0	NA	NA	1	1	1	0	0	1	4
50E	3659	5.973788363	5.973788363	7/18/14	50	E	H309	6	8	2	2	3	38.9	Sh	Sh	5	2	3	1	1	1	0	0	NA	NA	1	1	1	1	1	2	5
71A	3991	5.842330526	5.842330526	7/14/14	71	A	H742	4	5	3	2	3	38.6	Sh	Sh	1	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	6
71B	3915	6.031834074	6.031834074	7/15/14	71	B	H742	4	6	3	2	3	38.2	Sh	NS	2	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	7
71C	3364	5.630832721	5.630832721	7/16/14	71	C	H742	4	7	3	2	3	38.5	Sh	NS	3	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	8
71D	3038	5.689575891	5.689575891	7/17/14	71	D	H742	4	8	3	2	3	38.3	Sh	Sh	4	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	9
67A	4030	6.181165606	6.181165606	7/14/14	67	A	H1097	4	4	3	2	5	38.9	Sh	Sh	1	2	3	1	1	1	0	0	NA	NA	1	1	1	1	1	2	11
67B	3974	6.312311478	6.312311478	7/15/14	67	B	H1097	4	5	3	2	5	38.9	Sh	Sh	2	2	1	0	0	1	0	0	NA	NA	1	1	1	2	4	2	12
67C	4590	6.412492026	6.412492026	7/16/14	67	C	H1097	4	6	3	2	5	38.8	Sh	Sh	3	2	1	0	0	1	0	0	NA	NA	1	1	1	2	4	2	13
67D	5301	6.374325844	6.374325844	7/17/14	67	D	H1097	4	7	3	2	5	38.8	Sh	NS	4	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	14
67E	4527	6.211530893	6.211530893	7/18/14	67	E	H1097	4	8	3	2	5	38.8	Sh	NS	5	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	15
63A	3659	5.815560718	5.815560718	7/14/14	63	A	H1889	2	0	3	3	3	38.6	Sh	Sh	1	2	1	0	0	1	0	0	NA	NA	1	1	1	2	4	2	16
